NQMC-8630	The CAHPS Patient-Centered Medical Home (PCMH) Survey, Child Version provides information on parents' experience with their child's practice. Results summarize patient experiences through an overall rating question, composites and individual question summary rates.  For this "Communication" measure, parents or guardians reported how often ("Never," "Sometimes," "Usually," or "Always") their child's provider communicated well. The "Communication" composite measure is based on six questions in the CAHPS PCMH Survey, Child Version:         Q26: In the last 12 months, how often did this provider explain things about your child's health in a way that was easy to understand?       Q27: In the last 12 months, how often did this provider listen carefully to you?       Q29: In the last 12 months, how often did this provider give you easy to understand information about these health questions or concerns?       Q30: In the last 12 months, how often did this provider seem to know the important information about your child's medical history?       Q31: In the last 12 months, how often did this provider show respect for what you had to say?       Q32: In the last 12 months, how often did this provider spend enough time with your child?   The National Committee for Quality Assurance's (NCQA's) Committee on Performance Measurement (CPM) has long felt that consumer experience with health care is a critical component of quality of care, that experience affects care outcomeand that experience is itself a measure of outcome. The number of "Never" or "Sometimes," "Usually," and "Always" responses on the "Communication" questions (see the related "Numerator Inclusions/Exclusions" field)  Eligible patients whose parent or guardian answered the "Communication" questions on the CAHPS Patient-Centered Medical Home (PCMH) Survey, Child Version (see the related "Denominator Inclusions/Exclusions" field)
NQMC-3177	This measure assesses the mean score for the questions in the "Tests and Treatments" section of the Inpatient Survey.    The "Tests and Treatments" section is one of ten sections that comprise the Inpatient Survey. Mean section scores are reported for each section of the survey. In addition, an "Overall Facility Rating" score is reported.      Patient satisfaction is both an indicator of quality of care, and a component of quality care.      In 2001, the Institute of Medicine (IOM) advocated a patient-centered model of care (Crossing the Quality Chasm: A New Health System for the 21st Century). In part, this is a reflection of the growing understanding that      "...patients constantly judge the motives and competence of caregivers through their interaction with them. This judgment is a very personal one, based on perceptions of care being responsive to patients' "individual needs," rather than to any universal code of standards (McGlynn, 1997). When these individual needs are perceived as being met, better care results. Lohr (1997) notes: "Inferior care results when health professionals lack full mastery of their clinical areas or cannot communicate effectively and compassionately." In short, when patients perceive motives, communication, empathy, and clinical judgment positively, they will respond more positively to care...Sobel (1995) claims that improved communication and interaction between caregiver and patient improves actual outcome. Donabedian (1988) notes that "...the interpersonal process is the vehicle by which technical care is implemented and on which its success depends" (from Press [2002] Patient Satisfaction: Defining, Measuring, and Improving the Experience of Care, Health Administration Press).       It is clear that patients quite actively evaluate what is happening to them during the experience of care. The degree to which the patient judges the care experience as satisfactory "...is not only an indicator of the quality of care, but a component of quality care, as well" (Press, 2002).      Patient Satisfaction has been linked to the following clinical outcomes: Clinical Quality (e.g., Hemoglobin A1c levels, cholesterol levels, lower bed disability days); Chronic Disease Control; Compliance; Drug Complications; Quality of Life; Emotional Health Status; Mental Health; Physical Functioning; Physical Health Status; Post-Surgery Complications; Post-Surgery Recovery Times; Risk-Adjusted Mortality Rates; Unexpected Mortality; and Work Effectiveness (Clark, Drain, Malone, 2004).            In addition to its connection to quality of care and clinical outcomes, Patient Satisfaction has been linked to the following:                Topline (Revenue): Loyalty; Volume; Physician Satisfaction; Patient's Trust in Provider; Retention; Employee Satisfaction           Bottomline (Expenses): Reduction in Expenses; Reduction in Length of Stay; Reduction in Complaints; Reduction in Malpractice Claims; Direct Measures of Financial Performance (e.g., bond rating, core margin, earnings per adjusted admission, market share, net margin, profit margin) (Clark, Drain, Malone, 2004)                The mean of all the patients' scores for the "Tests and Treatments" section of the Inpatient Survey    Refer to the "Press Ganey's Inpatient Survey: Calculation of Tests and Treatments Scores Information" document listed in the "Companion Documents" field for additional details. Patients with an inpatient admission during the reporting period who answered at least one question in the "Tests and Treatments" section of the Inpatient Survey. All deceased patients and all neonates are excluded from sampling.
NQMC-849	This single-item measure indicates the percentage of adult patients who reported whether ("Yes" or "No") someone talked to them about including family or friends in their counseling or treatment.Consumer ratings and reports of their behavioral health care and the health plan or managed behavioral health care organization (MBHO) that provide that care are important measures of the quality of behavioral health treatment. National efforts to develop quality indicators for behavioral health care by treatment providers, researchers and policymakers have all included consumer ratings. Moreover, many behavioral health care treatment providers use consumer ratings as a component of their quality improvement processes.  The Experience of Care and Health Outcomes (ECHO) Survey is designed to collect information on patients' experiences with behavioral health care. It produces data that can be useful for patients, clinicians, managed behavioral healthcare organizations (MBHO), health care plans, purchasers, States, and Federal agencies. This ECHO Survey is part of the CAHPS family of surveys, which are developed and supported by a public-private consortium of researchers sponsored by the Agency for Healthcare Research and Quality (AHRQ).  The ECHO Survey can be used for the following purposes:        To satisfy external standards.       To improve the quality of mental health and substance abuse services.       To monitor the quality of behavioral health organizations.       To hold providers accountable through public reporting.    The number of health plan members from the denominator who indicated "Yes" or "No" regarding whether someone talked to them about including family or friends in their counseling or treatment Health plan members age 18 years and older, enrolled in a managed care organization (MCO) or managed behavioral health organization (MBHO) for the previous 12 months with no more than one break in enrollment of up to 45 days during the enrollment period, who received behavioral health care services and who answered the "Including Family and Friends in Treatment" question on the Experience of Care and Health Outcomes (ECHO) Survey
NQMC-2067	This measure is used to assess the percentage of HIV positive adult patients who reported how often they felt they would get in trouble if they disagreed with or complained about their substance use counselors.    This measure is part of the Patient Satisfaction Survey for HIV Ambulatory Care (PSS-HIV) -- Outpatient Substance Use Treatment Module.Patient satisfaction has recently emerged as an important measure of the quality of health care delivery, right alongside the more traditional health status measurements and quality of life indicators. This is based largely on the discovery that patients with higher satisfaction levels often make important behavioral changes, including:      Maintaining more stable relationships with health care providers  Complying more closely with medical advice and treatment  Keeping appointments    Patients with higher satisfaction levels may also have improved health outcomes.    Many HIV providers have been measuring patient satisfaction at their HIV programs for some time. Others are just beginning. Measuring patient satisfaction will help to:      Strengthen communication and build relations with patients  Assess the strengths and weaknesses of HIV programs from the patients' perspective  Focus the quality improvement efforts  Create baseline data against which to measure changes in patient satisfaction    Taken together, these outcomes represent key opportunities to make and monitor the changes required to achieve some important goals: improving patient satisfaction and improving care overall. The number of patients who indicated "All of the time," "Most times," "Sometimes," "Rarely," "Never," or "Does not apply" to the item, "I felt I would get in trouble if I disagreed with or complained about my substance use counselors." HIV positive adult patients 18 years of age and older engaged in a substance use treatment program who completed the survey
NQMC-2248	This measure is used to assess the mean score for the questions in the "Overall Assessment" section of the Inpatient Pediatric Survey.    The "Overall Assessment" section is one of ten sections that comprise the Inpatient Pediatric Survey.  Mean section scores are reported for each section of this survey.  In addition, an "Overall Facility Rating" score is reported.      Patient satisfaction is both an indicator of quality of care, and a component of quality care.      In 2001, the Institute of Medicine (IOM) advocated a patient-centered model of care (Crossing the Quality Chasm: A New Health System for the 21st Century). In part, this is a reflection of the growing understanding that      "...patients constantly judge the motives and competence of caregivers through their interaction with them. This judgment is a very personal one, based on perceptions of care being responsive to patients' "individual needs," rather than to any universal code of standards (McGlynn, 1997). When these individual needs are perceived as being met, better care results. Lohr (1997) notes: "Inferior care results when health professionals lack full mastery of their clinical areas or cannot communicate effectively and compassionately." In short, when patients perceive motives, communication, empathy, and clinical judgment positively, they will respond more positively to care...Sobel (1995) claims that improved communication and interaction between caregiver and patient improves actual outcome. Donabedian (1988) notes that "...the interpersonal process is the vehicle by which technical care is implemented and on which its success depends" (from Press [2002] Patient Satisfaction: Defining, Measuring, and Improving the Experience of Care, Health Administration Press).       It is clear that patients quite actively evaluate what is happening to them during the experience of care. The degree to which the patient judges the care experience as satisfactory "...is not only an indicator of the quality of care, but a component of quality care, as well" (Press, 2002).      Patient Satisfaction has been linked to the following clinical outcomes: Clinical Quality (e.g., Hemoglobin A1c levels, cholesterol levels, lower bed disability days); Chronic Disease Control; Compliance; Drug Complications; Quality of Life; Emotional Health Status; Mental Health; Physical Functioning; Physical Health Status; Post-Surgery Complications; Post-Surgery Recovery Times; Risk-Adjusted Mortality Rates; Unexpected Mortality; and Work Effectiveness (Clark, Drain, Malone, 2004).            In addition to its connection to quality of care and clinical outcomes, Patient Satisfaction has been linked to the following:                Topline (Revenue): Loyalty; Volume; Physician Satisfaction; Patient's Trust in Provider; Retention; Employee Satisfaction           Bottomline (Expenses): Reduction in Expenses; Reduction in Length of Stay; Reduction in Complaints; Reduction in Malpractice Claims; Direct Measures of Financial Performance (e.g., bond rating, core margin, earnings per adjusted admission, market share, net margin, profit margin) (Clark, Drain, Malone, 2004)                The mean of all the parents' scores for the questions from the "Overall Assessment" section of the Inpatient Pediatric Survey    Refer to the "Press Ganey's Inpatient Pediatric Survey: Calculation of Scores Information" document listed in the "Companion Documents" field for additional details. Parents of patients with an inpatient pediatric care admission discharged during the reporting period who answered at least one question in the "Overall Assessment" section of the Inpatient Pediatric Survey.  All deceased patients and newborns are excluded from sampling.  
NQMC-4541	This measure is used to assess the percentage of respondents who indicated how often ("Never," "Sometimes," "Usually," or "Always") their child:        Got care as soon as they needed when they were sick or injured       Got an appointment as soon as they needed when they weren't sick or injured     The "Getting Care Quickly" composite measure is based on two questions in the CAHPS Health Plan Survey 4.0 (Child Questionnaire).  Note: A composite score is calculated in which a higher score indicates better quality. Composite scores are intended for consumer-level reporting. Additionally, frequency distributions are available for plans or providers to use for quality improvement purposes.The Agency for Healthcare Research and Quality (AHRQ) (then called the Agency for Health Care Policy and Research, or AHCPR) initiated the CAHPS program in October 1995 to develop standardized survey tools for obtaining and reporting information on consumers' experiences with health care. The CAHPS consortium began by developing the CAHPS Health Plan Survey, an integrated set of carefully tested and standardized questionnaires and report formats that can be used to produce meaningful, reliable, and comparable information about the experiences of consumers enrolled in health plans.    The CAHPS Health Plan Survey is designed to generate information that consumers can use to choose health plans, that purchasers can use to assess the value of services they buy, and that health plans can use to assess their performance and improve their products and services. As AHRQ had intended, the survey can be used with all types of health insurance consumers--including Medicaid recipients, Medicare beneficiaries, and those who are commercially insured--and across the full range of health care delivery systems, from fee-for-service to managed care plans. The instruments also capture information about special groups, including individuals with chronic conditions and disabilities and families with children.    The National Committee for Quality Assurance (NCQA) requires health plans to submit measures from the CAHPS Health Plan Survey as part of their HEDIS submission and for accreditation purposes. The number of "Never," "Sometimes," "Usually," or "Always" responses on the "Getting Care Quickly" questions (see the related "Numerator Inclusions/Exclusions" field) Health plan members age 17 years and younger whose parent or guardian answered the "Getting Care Quickly" questions on the CAHPS Health Plan Survey 4.0 (Child Questionnaire) (see the related "Denominator Inclusions/Exclusions" field)
NQMC-2081	This measure is used to assess the percentage of HIV positive adult patients who reported whether if they knew someone who was HIV-positive and had a substance use problem, they would refer her or him to this program for help.    This measure is part of the Patient Satisfaction Survey for HIV Ambulatory Care (PSS-HIV) -- Outpatient Substance Use Treatment Module.Patient satisfaction has recently emerged as an important measure of the quality of health care delivery, right alongside the more traditional health status measurements and quality of life indicators. This is based largely on the discovery that patients with higher satisfaction levels often make important behavioral changes, including:      Maintaining more stable relationships with health care providers  Complying more closely with medical advice and treatment  Keeping appointments    Patients with higher satisfaction levels may also have improved health outcomes.    Many HIV providers have been measuring patient satisfaction at their HIV programs for some time. Others are just beginning. Measuring patient satisfaction will help to:      Strengthen communication and build relations with patients  Assess the strengths and weaknesses of HIV programs from the patients' perspective  Focus the quality improvement efforts  Create baseline data against which to measure changes in patient satisfaction    Taken together, these outcomes represent key opportunities to make and monitor the changes required to achieve some important goals: improving patient satisfaction and improving care overall. The number of patients who indicated "Definitely Yes," "Maybe," "Definitely Not," or "Not Sure" to the item, "If I knew someone who was HIV-positive and had a substance use problem, I would refer her or him to this program for help." HIV positive adult patients 18 years of age and older engaged in a substance use treatment program who completed the survey
NQMC-8620	The CAHPS Patient-Centered Medical Home (PCMH) Survey, Adult Version provides information on patients' experience with practices and gives a general indication of how well a practice meets patient expectations. Results summarize patient experience with care through an overall rating question, composites and question summary rates.   For this "Self-Management Support" measure, adult patients reported whether ("Yes" or "No") they received self-management support. The "Self-Management Support" composite measure is based on two questions in the CAHPS PCMH Survey, Adult Version:        Q35: In the last 12 months, did anyone in this provider's office talk with you about specific goals for your health?       Q36: In the last 12 months, did anyone in this provider's office ask you if there are things that make it hard for you to take care of your health?   The National Committee for Quality Assurance's (NCQA's) Committee on Performance Measurement (CPM) has long felt that consumer experience with health care is a critical component of quality of care, that experience affects care outcomeand that experience is itself a measure of outcome. The number of "Yes" and "No" responses on the "Self-Management Support" questions (see the related "Numerator Inclusions/Exclusions" field)  Eligible patients who answered the "Self-Management Support" questions on the CAHPS Patient-Centered Medical Home (PCMH) Survey, Adult Version (see the related "Denominator Inclusions/Exclusions" field)
NQMC-8609	This measure is used to assess the percentage of adult inpatients who reported how often the hospital staff was responsive to their needs.  The "Responsiveness of Hospital Staff" composite measure is based on two questions on the CAHPS Hospital Survey. One question asks patients ("Never," "Sometimes," "Usually," "Always," "I never pressed the call button"):        During this hospital stay, after you pressed the call button, how often did you get help as soon as you wanted it?     AND  One question asks patients ("Never," "Sometimes," "Usually," "Always"):        How often did you get help in getting to the bathroom or in using a bedpan as soon as you wanted?     Note: A composite score is calculated in which a higher score indicates better quality. Composite scores are intended for consumer-level reporting.The Hospital Consumer Assessment of Healthcare Providers and Systems (HCAHPS) Survey is part of a larger Consumer Assessment of Healthcare Providers and Systems (CAHPS) program sponsored by the Agency for Healthcare Research and Quality (AHRQ). CAHPS was initiated by AHRQ in 1995 to establish survey and reporting products that provide consumers with information on health plan and provider performance. Since 1995, the initiative has grown to include a range of health care services at multiple levels of the delivery system. HCAHPS was developed by AHRQ in response to the Centers for Medicare  Medicaid Services' (CMS) request for a survey that supports the assessment of patients' perspectives on hospital care.   The purpose of HCAHPS is to uniformly measure and publicly report patients' perspectives on their inpatient care. While many hospitals collected information on patients' satisfaction with care, there was no national standard for collecting this information that would yield valid comparisons across all hospitals. HCAHPS represents the first national standard for the collection of information on patients' perspectives about their inpatient care.  Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on patients' perspectives of care that allows objective and meaningful comparisons between hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey is credible, useful, and practical. This methodology and the information it generates is made available to the public. The number of ("Never," "Sometimes," "Usually," "Always," or "I never pressed the call button") responses on the "Responsiveness of Hospital Staff" questions (see the related "Numerator Inclusions/Exclusions" field) Hospital inpatients with an admission during the reporting period who answered the "Responsiveness of Hospital Staff" questions on the CAHPS Hospital Survey (see the related "Denominator Inclusions/Exclusions" field)
NQMC-4544	This measure is used to assess parents' or guardians' perceptions of all the health care their child received from their health plan. Parents rate their child's care on a scale from 0 to 10, where 0 is the worst health care possible and 10 is the best health care possible. Responses are grouped by rating: percentages are reported for ratings of 9 and 10, 7 and 8, and 6 and lower.    Note: The percentage of ratings for the group 9 and 10 (or sometimes 8, 9, and 10) is used for consumer-level reporting; higher percentages indicate better quality. Additionally, frequency distributions encompassing all groups of ratings (i.e., 9 and 10, 7 and 8, 6 or lower) are available for plans or providers to use for quality improvement purposes.The Agency for Healthcare Research and Quality (AHRQ) (then called the Agency for Health Care Policy and Research, or AHCPR) initiated the CAHPS program in October 1995 to develop standardized survey tools for obtaining and reporting information on consumers' experiences with health care. The CAHPS consortium began by developing the CAHPS Health Plan Survey, an integrated set of carefully tested and standardized questionnaires and report formats that can be used to produce meaningful, reliable, and comparable information about the experiences of consumers enrolled in health plans.    The CAHPS Health Plan Survey is designed to generate information that consumers can use to choose health plans, that purchasers can use to assess the value of services they buy, and that health plans can use to assess their performance and improve their products and services. As AHRQ had intended, the survey can be used with all types of health insurance consumers--including Medicaid recipients, Medicare beneficiaries, and those who are commercially insured--and across the full range of health care delivery systems, from fee-for-service to managed care plans. The instruments also capture information about special groups, including individuals with chronic conditions and disabilities and families with children.    The National Committee for Quality Assurance (NCQA) requires health plans to submit measures from the CAHPS Health Plan Survey as part of their HEDIS submission and for accreditation purposes. Parents' or guardians' ratings of all the health care their child received on a scale from 0 to 10, where 0 is the worst health care possible and 10 is the best health care possible (see the related "Numerator Inclusions/Exclusions" field) Health plan members age 17 years and younger whose parent or guardian answered the "Rating of All Health Care" question on the CAHPS Health Plan Survey 4.0 (Child Questionnaire) (see the related "Denominator Inclusions/Exclusions" field)
